LID , TYPE , CA , NP , PD
I:/Project/BHLU/ReclassTo3/FID_34/year_2015.img , cls_1 , 96384372.0539 ,   22331.0000 ,       0.0181
I:/Project/BHLU/ReclassTo3/FID_34/year_2015.img , cls_3 , 3990560.2350 ,   22001.0000 ,       0.0178
I:/Project/BHLU/ReclassTo3/FID_34/year_2015.img , cls_2 , 23004530.0053 ,   73479.0000 ,       0.0596
I:/Project/BHLU/ReclassTo3/FID_35/year_1992.img , cls_2 , 17975159.4062 ,   47779.0000 ,       0.0553
I:/Project/BHLU/ReclassTo3/FID_35/year_1992.img , cls_1 , 68367253.5779 ,   10775.0000 ,       0.0125
I:/Project/BHLU/ReclassTo3/FID_35/year_1992.img , cls_3 ,   87216.5685 ,    1010.0000 ,       0.0012
I:/Project/BHLU/ReclassTo3/FID_35/year_2015.img , cls_2 , 18538184.0495 ,   48697.0000 ,       0.0563
I:/Project/BHLU/ReclassTo3/FID_35/year_2015.img , cls_1 , 67356772.5075 ,   11741.0000 ,       0.0136
I:/Project/BHLU/ReclassTo3/FID_35/year_2015.img , cls_3 ,  534672.9956 ,    5326.0000 ,       0.0062
I:\Project\BHLU\ReclassTo3\FID_24\Exact\year_2015.img , cls_1 , 1916442.1265 ,    1789.0000 ,       0.0680
I:\Project\BHLU\ReclassTo3\FID_24\Exact\year_2015.img , cls_2 ,  712226.8087 ,    2145.0000 ,       0.0815
I:\Project\BHLU\ReclassTo3\FID_24\Exact\year_2015.img , cls_3 ,    3944.8937 ,      71.0000 ,       0.0027
I:\Project\BHLU\ReclassTo3\FID_22\exact\year_1992.img , cls_1 , 26067243.9986 ,     781.0000 ,       0.0029
I:\Project\BHLU\ReclassTo3\FID_22\exact\year_1992.img , cls_2 ,  783691.0918 ,   11404.0000 ,       0.0422
I:\Project\BHLU\ReclassTo3\FID_22\exact\year_1992.img , cls_3 ,  192617.0489 ,    2676.0000 ,       0.0099
I:\Project\BHLU\ReclassTo3\FID_22\exact\year_2015.img , cls_1 , 26226045.6940 ,     864.0000 ,       0.0032
I:\Project\BHLU\ReclassTo3\FID_22\exact\year_2015.img , cls_2 ,  550135.9560 ,   10071.0000 ,       0.0372
I:\Project\BHLU\ReclassTo3\FID_22\exact\year_2015.img , cls_3 ,  267370.4893 ,    3401.0000 ,       0.0126
I:\Project\BHLU\ReclassTo3\FID_24\Exact\year_1992.img , cls_1 , 1931600.7456 ,    1772.0000 ,       0.0673
I:\Project\BHLU\ReclassTo3\FID_24\Exact\year_1992.img , cls_2 ,  697926.5691 ,    2078.0000 ,       0.0789
I:\Project\BHLU\ReclassTo3\FID_24\Exact\year_1992.img , cls_3 ,    3086.5140 ,      66.0000 ,       0.0025
